"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - 符合所有; 'xyz*' - 符合所有開頭為 'xyz' 且不長於 %d"
"-- Please Select --","-- 請選擇 -- "
"Add New Class","新增新稅種 "
"Add New Tax Rate","新增新稅率 "
"Add New Tax Rule","新增新稅則 "
"After Discount","折扣後"
"An error occurred while deleting this rate.","刪除雜費率出錯"
"An error occurred while deleting this rate. Incorrect rate ID.","刪除雜費率出錯。 錯誤雜費率ID."
"An error occurred while deleting this tax class.","刪除雜費出錯"
"An error occurred while deleting this tax rule.","刪除雜費規則出錯"
"An error occurred while saving this tax class.","儲存雜費出錯"
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax rule.","儲存雜費規則出錯"
"Apply Customer Tax","使用客戶雜費"
"Apply Discount On Prices","應用折扣到價格"
"Apply Tax On","對如下價格計算稅收 "
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."," 如果選中 ""折扣後計稅"" 將基於商店的稅率計算含稅價格的折扣"
"Are you sure you want to do this?","您確認要這麼做嗎？ "
"Back","返回 "
"Before Discount","折扣前"
"CSV","CSV "
"Calculation Settings","計算設置"
"Catalog Prices","目錄價格"
"Class Name","稅種名稱 "
"Code","代碼 "
"Country","國家 "
"Custom price if available","自訂價格（若有） "
"Customer Tax Class","客戶稅種 "
"Customer Tax Class Information","客戶稅種訊息 "
"Customer Tax Classes","客戶稅種 "
"Default Country","預設國家 "
"Default Post Code","預設郵遞區號 "
"Default State","預設州、省 "
"Default Tax Destination Calculation","預設雜費收地計算"
"Delete Class","刪除稅種 "
"Delete Rate","刪除稅率 "
"Delete Rule","刪除稅則 "
"Display Full Tax Summary","顯示完整雜費收說明"
"Display Prices","顯示價格"
"Display Product Prices In Catalog","顯示目錄產品價格"
"Display Shipping Amount","顯示運費"
"Display Shipping Prices","顯示配送價格 "
"Display Subtotal","顯示小計"
"Display Zero Tax Subtotal","顯示不含稅總額 "
"Edit Class","編輯稅率 "
"Edit Class '%s'","編輯稅種'%s' "
"Edit Rule","編輯稅則 "
"Edit Tax Rate","編輯稅率 "
"Excel XML","Excel XML"
"Excl. Tax","不含稅 "
"Excl. Tax:","不含稅： "
"Excluding Tax","不含雜費"
"Export Tax Rates","匯出稅率 "
"Grand Total (Excl. Tax)","總額 (Excl. Tax)"
"Grand Total (Excl.Tax)","總額 (Excl.Tax)"
"Grand Total (Incl. Tax)","總額 (Incl. Tax)"
"Grand Total (Incl.Tax)","總額 (Incl.Tax)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Import / Export Tax Rates","匯入/匯出稅率 "
"Import Tax Rates","匯入稅率 "
"Inc. Tax","含稅 "
"Incl. Tax","含稅 "
"Incl. Tax:","含稅： "
"Include Tax In Grand Total","含稅總額"
"Including Tax","含雜費"
"Including and Excluding Tax","含雜費和不含雜費"
"Invalid file format upload attempt","上傳檔案格式不正確 "
"Invalid file upload attempt","上傳檔案不正確 "
"Manage Customer Tax Classes","管理客戶稅種 "
"Manage Product Tax Classes","管理商品稅種 "
"Manage Tax Rates","管理稅率 "
"Manage Tax Rules","管理稅則 "
"Manage Tax Zones & Rates","管理稅區和稅率 "
"Name","名稱 "
"New Class","新稅種 "
"New Rule","新稅則 "
"New Tax Rate","新稅率 "
"No","否"
"None","無 "
"One of the country has invalid code.","有一個國家代碼不正確 "
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","只對原價 "
"Price Display Settings","價格顯示設置"
"Priority","優先級 "
"Product Tax Class","商品稅種 "
"Product Tax Class Information","商品稅種訊息 "
"Product Tax Classes","商品稅種 "
"Range From","從"
"Range To","到"
"Rate","比例 "
"Rate Percent","比例百分比"
"Reset","重置 "
"Row Total","行總計"
"Sales","銷售 "
"Save Class","儲存稅種 "
"Save Rate","儲存稅率 "
"Save Rule","儲存規則 "
"Save and Continue Edit","儲存並繼續編輯"
"Shipping & Handling (Excl.Tax)","運費與手續費 (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","運費與手續費 (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","運費 (Excl. Tax)"
"Shipping (Incl. Tax)","運費 (Incl. Tax)"
"Shipping Excl. Tax (%s)","運費 Excl. Tax (%s)"
"Shipping Incl. Tax (%s)","運費 Incl. Tax (%s)"
"Shipping Prices","運費"
"Shopping Cart Display Settings","購物車顯示設置"
"Sort Order","排列順序 "
"State","省份 "
"State/Region","省份/地區 "
"Subtotal (Excl. Tax)","小計 (Excl. Tax)"
"Subtotal (Excl.Tax)","小計 (Excl.Tax)"
"Subtotal (Incl. Tax)","小計 (Incl. Tax)"
"Subtotal (Incl.Tax)","小計 (Incl.Tax)"
"Tax","稅 "
"Tax Calculation Based On","雜費收標準"
"Tax Calculation Method Based On","計雜費方法依據"
"Tax Class for Shipping","配送稅種 "
"Tax Classes","稅種 "
"Tax Identifier","稅率識別符號 "
"Tax Rate","稅率 "
"Tax Rate Information","稅率訊息 "
"Tax Rule Information","稅則訊息 "
"Tax Rules","稅則 "
"Tax Section","稅區 "
"Tax Titles","稅率標題 "
"Tax rate cannot be removed. It exists in tax rule","雜費率已經存在於雜費規則，無法刪除"
"Tax rates at the same priority are added, others are compounded.","處於同一優先級的稅率將被新增，其餘將被累加。 "
"The tax class has been deleted.","雜費種已經刪除"
"The tax class has been saved.","雜費種已經儲存"
"The tax rate has been deleted.","雜費率已經刪除"
"The tax rate has been imported.","雜費率已經匯入"
"The tax rate has been saved.","雜費率已經儲存"
"The tax rule has been deleted.","雜費規則已經刪除"
"The tax rule has been saved.","雜費規則已經儲存"
"This class no longer exists","該類已不存在 "
"This rule no longer exists","該規則已不存在 "
"This rule no longer exists.","該規則已不存在"
"Total","總計"
"Unit Price","單價"
"Whether catalog prices entered by admin include tax.","管理員輸入的產品目錄價格是否含稅"
"Whether shipping amounts entered by admin or obtained from gateways include tax.","管理員輸入或從網關獲得的運費是否含稅"
"Yes","是"
"You cannot delete this tax class as it is used for %d customer groups.","該稅種用於%d客戶組，不能刪除 . "
"You cannot delete this tax class as it is used for %d products.","該稅種用於%d商品，不能刪除 "
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","該稅種用於稅則中，不能刪除，要先刪除使用它的稅則。 "
"Zip/Post Code","郵遞區號 "
"Zip/Post is Range","郵遞區號在範圍內"
