"%s and greater","%s及更大"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","進階搜尋"
"Advanced Search Form","Advanced Search Form"
"Advanced Search Result","Advanced Search Result"
"All","所有"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","分類進階搜尋"
"Catalog Search","目錄搜尋"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","沒有找到您想要的？"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Go"
"Go to Home Page","轉到頁面"
"Grid","多欄"
"Home","首頁"
"List","單欄"
"Maximum Query Length","最大查詢長度"
"Maximum Query Words Count","最大查詢詞數"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","最小查詢長度"
"Minimum Search query length is %s","Minimum Search query length is %s"
"Modify your search","修改搜尋"
"No","否"
"No items were found using the following search criteria.","沒有找到與下列搜尋條件相匹配的商品。"
"Please specify at least one search term.","Please specify at least one search term."
"Popular Search Terms","熱門搜尋關鍵字"
"Quick Search Form","Quick Search Form"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","關聯"
"Results","結果"
"Search","搜尋"
"Search Settings","搜尋設置"
"Search Terms","搜尋關鍵字"
"Search Type","搜尋類型"
"Search entire store here...","全站搜尋 ..."
"Search results for '%s'","%s'的搜尋結果"
"Search results for: '%s'","搜尋結果: '%s'"
"Search:","Search:"
"Specified date is invalid.","Specified date is invalid."
"Subscribe to Feed","訂閱RSS"
"There are no search terms available.","沒有可用的搜尋關鍵字。"
"Yes","是"
"Your search returns no results.","沒有搜尋到任何結果。"
"up to %s","最多%s"
