"-- Please select --","-- 請選擇 --"
"Allowed Currencies","Allowed Currencies"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","Cannot retrieve rate from %s."
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Continue &raquo;","繼續 &raquo;"
"Country","國家"
"Country API","Country API"
"Country and Format Type combination should be unique","國家和格式類型組合必須唯一"
"Currency","貨幣"
"Currency Options","貨幣選項"
"Currency Setup","貨幣設置"
"Currency Update Warnings","貨幣更新警告"
"Default Display Currency","Default Display Currency"
"Directory","目錄"
"Display not required State","Display not required State"
"Enabled","打開"
"Error Email Recipient","錯誤日誌的收件人"
"Error Email Sender","錯誤日誌的寄件人"
"Error Email Template","錯誤日誌的樣板"
"FATAL ERROR:","致命錯誤："
"Frequency","頻率"
"Installed Currencies","已安裝貨幣"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid country code: %s","國家代碼不正確：%s"
"Invalid rates received","接收的匯率不正確"
"Invalid target currency.","Invalid target currency."
"List of countries","國家列表"
"List of regions in specified country","指定國家的區域列表"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Region","區域"
"Region API","Region API"
"Scheduled Import Settings","定期匯入"
"Select Your Currency","選擇貨幣"
"Service","服務"
"Start Time","開始時間"
"State is required for","State is required for"
"State/Province","省份"
"States Options","States Options"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"WARNING:","警告："
"Webservicex","Webservicex"
"Your current currency is: %s","您當前貨幣是：%s"
