"Visible In","可見於"
"Date Posted","發布日期"
"Open","啟用"
"Add Answer","新增選項"
"Add New Answer","新增選項"
"Add New Poll","新增投票"
"Save Answer","儲存選項"
"Save Poll","儲存投票"
"Edit Answer '%s'","修改選項'%s'"
"Edit Poll '%s'","修改投票'%s'"
"Edit Poll Answer","修改投票選項"
"Delete","刪除"
"Delete Answer","刪除選項"
"Delete Poll","刪除投票"
"Closed","關閉"
"Status","狀態"
"Community Poll","社群投票"
"Disallow voting in a poll multiple times from same IP-address","禁止相同IP地址重複投票"
"Date Closed","結束日期"
"ID","編號"
"Answer Title","選項標題"
"Answer Title:","選項標題："
"Vote","投票"
"Poll not exists","投票不存在"
"Answer with the same title in this poll","投票中的選項相同"
"Poll Information","投票訊息"
"Poll information","投票訊息"
"Poll Manager","投票管理"
"Votes Count","投票計數"
"Votes Count:","投票計數："
"Poll Question","投票問題"
"Poll with the same question","投票問題相同"
"Poll Answers","投票選項"
"Number of Responses","投票數量"
"Unable to find answer to delete.","沒有找到要刪除的選項。"
"Assigned Answers","指定選項"
"Answer was successfully saved","成功儲存選項"
"New Poll","新增投票"
"Invalid Answer","無效選項"
"Are you sure you want to delete it?","您確認要刪除嗎？"
"Actions","操作 "
