"An error occurred while clearing the external full page cache.","清除外部整頁快取時發生錯誤"
"Cookie Lifetime (seconds)","Cookie存在時間（秒）"
"Enable External Cache","允許外部快取"
"External Cache Control","外部快取控制"
"External Full Page Cache Settings","外部整頁快取設定"
"External full page cache.","外部整頁快取"
"Failed to load external cache control","載入外部快取控制失敗"
"Flush External Page Cache","更新外部頁面快取"
"If empty, default value will be used.","如果空白，將使用預設值"
"The external full page cache has been cleaned.","外部整頁快取被清除"
"Zend Full Page Cache","Zend整頁快取"
